experiment,form,equation,alpha,seed,rmse,avg_step,cp_error,shock_deviation,recovery_error
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,48,0.10575968898268225,0.03916382528710548,0.14269840835678435,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.1,49,0.10664768724108914,0.038604189434916315,0.15702133977990884,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,0,0.08282897857189307,0.06869863854256952,0.13813557868687867,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,1,0.08163070202826712,0.07764550982521427,0.13078269938226209,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,2,0.08337277331917667,0.07383789826562608,0.11261615610610094,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,3,0.07841647417982725,0.07633840155742586,0.08813436656264605,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,4,0.08598193217844657,0.07210336862581603,0.1805661500734472,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,5,0.07137380047134222,0.07439710788388124,0.10513746346090175,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,6,0.07966067662341295,0.07107684450601477,0.162722990323424,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,7,0.07548834072236636,0.07709713845800856,0.15929286568396037,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,8,0.07860740484140688,0.07664286396332883,0.1054809062770259,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,9,0.09164624966258457,0.07444500533043576,0.1651097831091383,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,10,0.08119221669505927,0.07285091775982538,0.1362078428589618,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,11,0.07193220775299455,0.07522996653114421,0.11726765845286154,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,12,0.08452003489837384,0.07790428278389465,0.1204311299384828,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,13,0.08019525080344081,0.07252213885049823,0.0890884302055015,,
slow_update_search,ema_target,\hat T \leftarrow (1-\alpha)\hat T + \alpha\hat T^{new},0.2,14,0.07856844941671325,0.07577363671311248,0.16142529781002618,,
